"id";"item_name";"item_price";"tagline";"image"
2;"Mango";120.0;"The king of fruits, juicy and vibrantly sweet.";"fruit_images/Gemini_Generated_Image_3tt2g3tt2g3tt2g3.jpeg"
3;"Strawberries";60.0;"Little jewels of summer, bursting with flavor in every bite.";"fruit_images/Gemini_Generated_Image_3tt2h3tt2h3tt2h3.jpeg"
4;"Watermelon";200.0;"Summer's sweetest quench, a taste of pure refreshment.";"fruit_images/Gemini_Generated_Image_r83e6pr83e6pr83e.jpeg"
5;"Blueberries";90.0;"Tiny powerhouses of antioxidants, a burst of goodness.";"fruit_images/Gemini_Generated_Image_3tt2j3tt2j3tt2j3.jpeg"
6;"Pineapple";200.0;"A taste of the tropics, perfectly sweet and tangy.";"fruit_images/Gemini_Generated_Image_46zhzu46zhzu46zh.jpeg"
7;"Kiwifruit";76.0;"Fuzzy on the outside, a burst of vibrant green on the inside";"fruit_images/Gemini_Generated_Image_46zhzv46zhzv46zh.jpeg"
8;"Oranges";30.0;"A sunshine citrus, perfect for a healthy morning boost.";"fruit_images/Gemini_Generated_Image_46zhzw46zhzw46zh.jpeg"
9;"Grapes";40.0;"Nature's candy in every cluster, a sweet and juicy treat.";"fruit_images/Gemini_Generated_Image_46zhzx46zhzx46zh.jpeg"
10;"Bananas";20.0;"The perfect energy booster, packed with potassium power.";"fruit_images/Gemini_Generated_Image_3963de3963de3963.jpeg"
11;"Apple";35.0;"An apple a day keeps the doctor away.";"fruit_images/Gemini_Generated_Image_3963df3963df3963.jpeg"
